num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,Internet,RoundTrip,112,20,3,Sat,AKLDEL,New Zealand,0,0,0,5.52,0
2,Internet,RoundTrip,243,22,17,Wed,AKLDEL,India,1,1,0,5.52,0
1,Internet,RoundTrip,96,31,4,Sat,AKLDEL,New Zealand,0,0,1,5.52,0
2,Internet,RoundTrip,68,22,15,Wed,AKLDEL,India,1,0,1,5.52,0
1,Internet,RoundTrip,3,48,20,Thu,AKLDEL,New Zealand,1,0,1,5.52,0
3,Internet,RoundTrip,201,33,6,Thu,AKLDEL,New Zealand,1,0,1,5.52,0
2,Internet,RoundTrip,238,19,14,Mon,AKLDEL,India,1,0,1,5.52,0
1,Internet,RoundTrip,80,22,4,Mon,AKLDEL,New Zealand,0,0,1,5.52,0
2,Internet,RoundTrip,185,25,14,Tue,AKLDEL,United Kingdom,1,1,1,5.52,0
1,Internet,RoundTrip,8,43,2,Sat,AKLDEL,New Zealand,1,1,1,5.52,0
1,Internet,RoundTrip,185,17,14,Fri,AKLDEL,India,0,0,0,5.52,0
1,Internet,RoundTrip,245,34,4,Tue,AKLDEL,New Zealand,1,1,1,5.52,0
1,Internet,RoundTrip,192,18,14,Thu,AKLDEL,India,1,0,0,5.52,0
1,Internet,RoundTrip,19,29,10,Sat,AKLDEL,New Zealand,0,0,1,5.52,0
2,Internet,CircleTrip,228,29,23,Wed,AKLHND,New Zealand,1,0,0,7.57,0
2,Internet,RoundTrip,23,19,8,Mon,AKLICN,New Zealand,1,0,1,6.62,0
2,Internet,RoundTrip,25,27,13,Fri,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,16,21,6,Thu,AKLICN,New Zealand,1,0,1,6.62,0
1,Internet,RoundTrip,66,20,7,Thu,AKLICN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,51,28,6,Fri,AKLICN,South Korea,0,0,0,6.62,0
2,Internet,RoundTrip,37,24,7,Mon,AKLICN,New Zealand,1,0,0,6.62,0
1,Internet,RoundTrip,101,19,11,Tue,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,19,47,2,Tue,AKLICN,New Zealand,1,0,1,6.62,0
1,Internet,RoundTrip,16,35,23,Wed,AKLICN,New Zealand,1,1,0,6.62,0
1,Internet,RoundTrip,5,27,0,Fri,AKLICN,New Zealand,0,0,1,6.62,0
1,Internet,RoundTrip,185,34,4,Mon,AKLICN,New Zealand,1,0,1,6.62,0
1,Internet,RoundTrip,21,22,7,Fri,AKLICN,New Zealand,1,1,0,6.62,0
1,Internet,RoundTrip,7,27,4,Wed,AKLICN,New Zealand,0,0,1,6.62,0
1,Internet,RoundTrip,33,22,14,Sat,AKLICN,South Korea,1,0,0,6.62,0
2,Internet,RoundTrip,56,21,7,Thu,AKLICN,New Zealand,1,0,0,6.62,0
1,Internet,RoundTrip,3,33,1,Mon,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,13,26,7,Mon,AKLICN,South Korea,1,0,0,6.62,0
1,Internet,RoundTrip,65,22,14,Thu,AKLICN,South Korea,1,0,0,6.62,0
1,Mobile,RoundTrip,221,61,2,Sun,AKLICN,New Zealand,0,0,0,6.62,0
1,Internet,RoundTrip,65,18,14,Wed,AKLICN,South Korea,0,0,1,6.62,0
2,Internet,RoundTrip,7,40,7,Wed,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,107,24,14,Fri,AKLICN,South Korea,0,1,0,6.62,0
1,Internet,RoundTrip,14,27,10,Wed,AKLICN,New Zealand,0,0,0,6.62,0
1,Internet,RoundTrip,65,17,9,Wed,AKLICN,New Zealand,1,0,0,6.62,0
1,Internet,RoundTrip,24,25,8,Thu,AKLICN,South Korea,1,0,1,6.62,0
2,Internet,RoundTrip,11,25,4,Thu,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,35,25,6,Tue,AKLICN,South Korea,0,0,1,6.62,0
1,Internet,RoundTrip,20,18,10,Mon,AKLICN,New Zealand,0,0,0,6.62,0
1,Internet,RoundTrip,161,58,2,Sat,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,190,27,14,Sun,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,27,56,7,Fri,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,25,29,11,Wed,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,24,19,8,Mon,AKLICN,South Korea,1,0,1,6.62,0
1,Internet,RoundTrip,32,34,23,Sun,AKLKIX,New Zealand,0,0,0,7.0,0
2,Internet,RoundTrip,57,38,5,Sun,AKLKIX,New Zealand,1,0,0,7.0,0
1,Internet,RoundTrip,23,27,11,Sat,AKLKIX,Japan,0,0,0,7.0,0
1,Internet,RoundTrip,33,20,6,Fri,AKLKTM,New Zealand,1,0,0,4.75,0
2,Internet,RoundTrip,69,34,4,Thu,AKLKTM,New Zealand,1,0,0,4.75,0
1,Internet,RoundTrip,69,21,3,Wed,AKLKTM,New Zealand,1,0,0,4.75,0
1,Internet,OneWay,67,1,10,Tue,AKLKTM,New Zealand,1,0,0,4.75,0
2,Internet,RoundTrip,232,17,3,Tue,AKLKUL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,196,44,23,Tue,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,34,24,5,Fri,AKLKUL,New Zealand,1,0,0,8.83,0
1,Mobile,RoundTrip,63,57,8,Mon,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,5,18,4,Tue,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,8,33,3,Tue,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,138,35,19,Fri,AKLKUL,Switzerland,1,0,1,8.83,0
1,Internet,RoundTrip,134,37,20,Wed,AKLKUL,New Zealand,0,1,0,8.83,0
2,Internet,RoundTrip,8,29,18,Thu,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,23,51,13,Fri,AKLKUL,New Zealand,1,0,1,8.83,0
1,Mobile,RoundTrip,57,21,1,Sun,AKLKUL,Malaysia,1,1,1,8.83,0
2,Internet,RoundTrip,85,19,0,Mon,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,65,31,23,Sun,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,OneWay,27,1,13,Tue,AKLKUL,New Zealand,1,1,0,8.83,0
2,Internet,RoundTrip,118,17,8,Tue,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,90,20,7,Thu,AKLKUL,Malaysia,0,0,1,8.83,0
1,Internet,RoundTrip,168,41,23,Mon,AKLKUL,New Zealand,1,0,1,8.83,0
